feed_name,feed_url,feed_at_uri,feed_cid,creator_did,creator_handle,like_count,feed_tag
Lefty News Links,https://bsky.app/profile/kerim.one/feed/aaaii7yplfqok,at://did:plc:jgysjlql3r6m27bhjlmmfqlv/app.bsky.feed.generator/aaaii7yplfqok,bafyreigcbdfmshlhyfuoxh7nxnz4ia3n2c27zyj7bxulbk2nhmvz52sxme,did:plc:jgysjlql3r6m27bhjlmmfqlv,kerim.one,4,PL
Liberal Television,https://bsky.app/profile/liberaltelevision.bsky.social/feed/myposts,at://did:plc:6kjjfczp2oetu4oagsuzw2kk/app.bsky.feed.generator/myposts,bafyreicobgtmntf7ybgx45qskaazqcarzpolf2nztmgnk46tq77r65lyfe,did:plc:6kjjfczp2oetu4oagsuzw2kk,liberaltelevision.bsky.social,4,PL
LiberalVeterans,https://bsky.app/profile/lixoten.bsky.social/feed/aaal4nv2q2ko4,at://did:plc:nq32i4zk54dvpcnnt4u7x35y/app.bsky.feed.generator/aaal4nv2q2ko4,bafyreib6g3kvggcqqroynxri7ye7ujbxwxjvqur5iyh645b4mv5dsezq5q,did:plc:nq32i4zk54dvpcnnt4u7x35y,lixoten.bsky.social,4,PL
Liberals at Blue Sky,https://bsky.app/profile/fightingliberal.bsky.social/feed/aaacmlxpbug4k,at://did:plc:vaged6uocai4jrd2s5pd2ebo/app.bsky.feed.generator/aaacmlxpbug4k,bafyreibiwag6ykkdokwsejlmcl3wcotzrt5i2tmrh5ude5yj5zleqjcsp4,did:plc:vaged6uocai4jrd2s5pd2ebo,fightingliberal.bsky.social,4,PL
Progressive Christian,https://bsky.app/profile/sarahsheep18.bsky.social/feed/aaaktpkuwozag,at://did:plc:j2krmbbye6cilqbvhtxv3yzq/app.bsky.feed.generator/aaaktpkuwozag,bafyreidizg5z33aw34fhisx3fmiy37adoxrex7jahtfvkbeakswkfohyaq,did:plc:j2krmbbye6cilqbvhtxv3yzq,sarahsheep18.bsky.social,4,PL
Save Democracy 🗽🇺🇲,https://bsky.app/profile/realretweet.bsky.social/feed/aaaera6f3mmz4,at://did:plc:64rbg6zoljfju3lb6ednvokb/app.bsky.feed.generator/aaaera6f3mmz4,bafyreiezz4lyhb5mjpkhqrhgczhourmqdzaftclgzcze7chldbefy5npyu,did:plc:64rbg6zoljfju3lb6ednvokb,realretweet.bsky.social,4,PL
Democrats Most Recent,https://bsky.app/profile/fightingliberal.bsky.social/feed/aaaextbp6wmjc,at://did:plc:vaged6uocai4jrd2s5pd2ebo/app.bsky.feed.generator/aaaextbp6wmjc,bafyreih6rmlqa3riklqtcaplsmnj7b4yh2l7czteyswmnsygamal64m3my,did:plc:vaged6uocai4jrd2s5pd2ebo,fightingliberal.bsky.social,3,CL
MAGACorruption,https://bsky.app/profile/adventurer56.bsky.social/feed/RepublicanCorruption,at://did:plc:hgrpyurhswze7rt7z2smeu2q/app.bsky.feed.generator/RepublicanCorruption,bafyreih7hd6eykz56fdrjbopusl4msce5barrm4oqnnthniq6alvzewtpe,did:plc:hgrpyurhswze7rt7z2smeu2q,adventurer56.bsky.social,3,PL
Progressive News,https://bsky.app/profile/wefingtoldyouso.bsky.social/feed/aaafs2j4vzmmm,at://did:plc:7veea432i2hewdxsxvzecikh/app.bsky.feed.generator/aaafs2j4vzmmm,bafyreihm5yszmnqcqqst2xlry63i5zt6kqozccrahgssziq3qby7uhzpka,did:plc:7veea432i2hewdxsxvzecikh,wefingtoldyouso.bsky.social,3,PL
Progressive Pulse,https://bsky.app/profile/dailycast.news/feed/aaakztw3rdstc,at://did:plc:u7pwgfo6uma2pvciab7l3mcz/app.bsky.feed.generator/aaakztw3rdstc,bafyreiaipysb3adseifcnxgcdvp7ubsk7jckhzyysihcgx3vpj4leg6ej4,did:plc:u7pwgfo6uma2pvciab7l3mcz,dailycast.news,3,PL
The Furry Left,https://bsky.app/profile/lumincity.bsky.social/feed/aaaamofmzhige,at://did:plc:xyeqeupgj27lcnyqybcunrwe/app.bsky.feed.generator/aaaamofmzhige,bafyreigm4rwe63j57zzgzslor46dronv5x3cyfbhzi5sgo7m4htwwvqnfu,did:plc:xyeqeupgj27lcnyqybcunrwe,lumincity.bsky.social,3,XL
Democratic Politics,https://bsky.app/profile/bluetrends.bsky.social/feed/democratic-politics,at://did:plc:dnne5gbk6yjt4ej7as4x3ikl/app.bsky.feed.generator/democratic-politics,bafyreiclrovf6dfto5x2n3czae2u3j2235sjkkzkeuyc3fhsrpiglyoyiq,did:plc:dnne5gbk6yjt4ej7as4x3ikl,bluetrends.bsky.social,2,PL
Democratic Senators,https://bsky.app/profile/imagardener.bsky.social/feed/senatedems,at://did:plc:pdabmqhdu5scf3gt2gudbumo/app.bsky.feed.generator/senatedems,bafyreifoon53m2fbsldgxhuq4truyckkl2cmtlgr6kylmtlidshvghxtbu,did:plc:pdabmqhdu5scf3gt2gudbumo,imagardener.bsky.social,2,PL
Democrats Republicans,https://bsky.app/profile/teresaelaine.bsky.social/feed/aaaoaqta2cmz6,at://did:plc:jeui7hl5i5gkxyp3vkrjrvc7/app.bsky.feed.generator/aaaoaqta2cmz6,bafyreihy3cwdikbwogxxqqkgb4zjx4xlrbtpokxv22ciomfokp6raeeacq,did:plc:jeui7hl5i5gkxyp3vkrjrvc7,teresaelaine.bsky.social,2,PL
Democrats on impeachment,https://bsky.app/profile/davidsacerdote.bsky.social/feed/aaaijygb4ijh6,at://did:plc:o4s55v3tsfph6whswxccpsia/app.bsky.feed.generator/aaaijygb4ijh6,bafyreie4zkjyr5via7ogqff47gzxryeurbkz7xp6nw6b75arqv6ii3cxa4,did:plc:o4s55v3tsfph6whswxccpsia,davidsacerdote.bsky.social,2,PL
House Democrats,https://bsky.app/profile/imagardener.bsky.social/feed/housedems,at://did:plc:pdabmqhdu5scf3gt2gudbumo/app.bsky.feed.generator/housedems,bafyreiguabmwphppqqnnn35inlte4utb4yz4zzyawqpye3lo52c6rb5m3m,did:plc:pdabmqhdu5scf3gt2gudbumo,imagardener.bsky.social,2,CL
Leftists & the Like 1,https://bsky.app/profile/zaim.bsky.social/feed/aaai26kuogf4w,at://did:plc:rqrpujjuuyc7khe3tkhl3ryt/app.bsky.feed.generator/aaai26kuogf4w,bafyreibsrvfoh2ryl6z6c3ex45xrase3ufi4rp5bhbgrtbkrbhffafu75m,did:plc:rqrpujjuuyc7khe3tkhl3ryt,zaim.bsky.social,2,PL
